Ma_bao,Kho_nguon,Kho_dich,Ngay_tao,So_don,Nguoi_xuat,Nguoi_nhap,Gio_xuat,Gio_nhap
146284079,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 09:30:19",5,hieuqdt,nhatt2,"2019-12-25 09:34:49","2019-12-25 10:03:44"
146285222,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 09:34:49",1,hieuqdt,nhatt2,"2019-12-25 09:34:49","2019-12-25 10:03:44"
146311007,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 10:41:34",2,hieuqdt,chienlt4,"2019-12-25 10:50:41","2019-12-25 11:19:08"
146321882,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 11:04:01",2,hieuqdt,nhatt2,"2019-12-25 14:00:20","2019-12-25 14:24:11"
146350064,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 12:20:00",26,hieuqdt,nhandv5,"2019-12-25 12:39:31","2019-12-25 13:02:38"
146360435,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 12:39:31",1,hieuqdt,nhandv5,"2019-12-25 12:39:31","2019-12-25 13:02:38"
146360438,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 12:39:31",1,hieuqdt,nhandv5,"2019-12-25 12:39:31","2019-12-25 13:02:38"
146360441,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 12:39:31",1,hieuqdt,nhandv5,"2019-12-25 12:39:31","2019-12-25 13:02:38"
146360450,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 12:39:31",1,hieuqdt,nhandv5,"2019-12-25 12:39:31","2019-12-25 13:02:38"
146360453,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 12:39:31",1,hieuqdt,nhandv5,"2019-12-25 12:39:31","2019-12-25 13:02:38"
146398184,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 13:49:37",25,hieuqdt,nhatt2,"2019-12-25 14:00:20","2019-12-25 14:24:11"
146399396,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 13:51:32",3,hieuqdt,nhatt2,"2019-12-25 14:00:20","2019-12-25 14:24:11"
146414996,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 14:25:07",9,huanntb,chienlt4,"2019-12-25 15:17:25","2019-12-25 15:47:04"
146520749,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 17:36:55",10,none,none,none,none
146530151,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 17:50:31",5,none,none,none,none
146545808,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 18:11:42",1,none,none,none,none
146665601,"BC Nguyen Van Cu (HCM)","Binh Thanh 2","2019-12-25 21:35:53",33,none,none,none,none
